,Status,User ID,"Reason (manually added, not 100% clear)",Created at
,OFF,a7114cd7-a5b3-4ab3-888e-83ceda162874,3_Repaid,17/05/2018
,OFF,086cf1b2-d856-46d5-991e-f22d61bff6d8,1_Cancelled,22/05/2018
,OFF,c596734c-81f2-4d69-9dc2-5e83c2ba975c,3_Repaid,22/05/2018
,OFF,d3edc88f-b3c5-4203-8bbb-5eb8fc76f29c,3_Repaid,23/05/2018
,OFF,a70ff614-ef8c-4fc9-a945-8c4a253c63b2,1_Cancelled,24/05/2018
,OFF,cadc6158-36a1-4a22-bd15-c8db5750ce8a,1_Cancelled,25/05/2018
,OFF,2f8546eb-2831-41c3-a6f5-65ce27d5dea4,1_Cancelled,28/05/2018
,OFF,445af609-3dbd-4a29-a664-5f4fac945c11,1_Cancelled,28/05/2018
,OFF,1acd093e-60a0-4963-b3d3-0d3e64d146b4,1_Cancelled,29/05/2018
,OFF,2de0f054-7a8f-4ecf-9359-5d8ec9091826,1_Cancelled,05/06/2018
,OFF,7cb08012-b16d-4552-84af-a77409b23678,1_Cancelled,05/06/2018
,OFF,544e3354-fa81-4854-b55b-cee1a825010e,3_Repaid,08/06/2018
,OFF,428941c5-82a4-4616-9c7f-c2b486540270,1_Cancelled,11/06/2018
,OFF,596fa48c-9547-4409-9d0a-8af60679af49,3_Repaid,11/06/2018
,OFF,1b199028-6109-4a94-aa0d-09fa5fd03828,3_Repaid,12/06/2018
,OFF,6ade29ff-94ca-4717-a2f3-fc03f25321ee,3_Repaid,12/06/2018
,OFF,ddf742e7-d145-43b9-839b-8f09a49f1c29,3_Repaid,14/06/2018
,OFF,d24762d8-1641-404b-8e0c-a7e7e7fa7c69,1_Cancelled,15/06/2018
,OFF,17f65a17-0eca-474b-b6d8-e505954792af,1_Cancelled,18/06/2018
,OFF,23735b3d-a0d8-41b3-b671-2145513607d2,1_Cancelled,18/06/2018
,OFF,51a7d435-d6d4-4a90-8211-56aa4d24b0d6,1_Cancelled,18/06/2018
,OFF,9d8f3fbe-0f22-4991-997c-8d8501d97ba3,1_Cancelled,18/06/2018
,OFF,c2b31ba4-919d-4d63-9dee-f1cbe652f183,1_Cancelled,18/06/2018
,OFF,eea7fe76-0b43-49d5-98ae-6abcff3b1aa2,1_Cancelled,18/06/2018
,OFF,9756896e-9a00-4e6f-8fa7-184f97e0c8e5,3_Repaid,18/06/2018
,OFF,aaa9f13c-46f4-4566-8484-3576868b9255,3_Repaid,18/06/2018
,OFF,d3102466-511d-4e30-9df7-72246a1c257d,3_Repaid,18/06/2018
,OFF,b814ab57-71c8-4c2d-8aff-3e172f00ddc5,1_Cancelled,19/06/2018
,OFF,468e9764-1301-4025-8641-e9b515327e15,1_Cancelled,20/06/2018
,OFF,07535909-5e99-45d3-ae29-47e1bd47b2fc,1_Cancelled,22/06/2018
,OFF,44c24eb5-e709-4df4-94f5-d5f0ab435550,1_Cancelled,22/06/2018
,OFF,95766b66-1cce-4b39-93ee-65469ae87526,1_Cancelled,22/06/2018
,OFF,ec7629b3-2502-4529-9637-4b74efa68f75,1_Cancelled,22/06/2018
,OFF,a2a6e32b-0cc4-4950-8df3-564049cc5e64,1_Cancelled,25/06/2018
,OFF,d695133a-69d3-4e25-9d00-ddcf5a3326d7,3_Repaid,28/06/2018
,OFF,527e1773-db4c-49c9-b93a-6630b24d84f0,1_Cancelled,29/06/2018
,OFF,16cab8b2-5645-4576-a174-adcb224b5fd1,3_Repaid,01/07/2018
,OFF,78890bde-b182-41ef-b2ff-df44ef44529d,1_Cancelled,05/07/2018
,OFF,73d465f5-acad-4445-8545-7fcf7b6a3cd7,1_Cancelled,09/07/2018
,OFF,4dd6244a-a058-4d5b-936e-64a8f7340384,1_Cancelled,11/07/2018
,OFF,973d289e-085e-4437-b438-6fa0d485ec8a,3_Repaid,12/07/2018
,OFF,6819aee9-cfa0-4188-a3fa-3bbc92d50381,1_Cancelled,16/07/2018
,OFF,742e27bd-a71e-4918-ab03-aa4de0c793c1,1_Cancelled,16/07/2018
,OFF,750db899-046d-4071-a73b-6951df8d2a8e,3_Repaid,18/07/2018
,OFF,0bec6dc6-f12d-4838-a4a2-b909ae2322b5,1_Cancelled,02/08/2018
,OFF,41f96cab-c17a-4b6a-aaad-a3d61fbe5058,1_Cancelled,02/08/2018
,OFF,4381fa10-9059-4d31-85d6-b46ce304d8a7,1_Cancelled,02/08/2018
,OFF,582663db-e884-46ec-a219-69f851f0a2ae,1_Cancelled,02/08/2018
,OFF,8195e883-9b84-404b-a758-2550ddeb29ae,1_Cancelled,02/08/2018
,OFF,9a328531-46e4-49a1-8d70-723c0bd22753,1_Cancelled,02/08/2018
,OFF,3951a965-7a36-46ec-8d49-68e81b104d6d,1_Cancelled,02/08/2018
,OFF,2476ced0-01e2-43c7-96c7-2e48da043e6b,3_Repaid,02/08/2018
,OFF,836e56e8-bade-4075-82b6-4127ce4ddd0e,3_Repaid,02/08/2018
